Temp_ID Permanent_ID Mutation_type Position s h Subpop Tick Number
62 10 m2 696164 0.027677048 0.5 p0 2 3
46 32 m2 616182 0.000516652362 0.5 p0 2 4
53 40 m2 202265 -0.0280050449 0.5 p0 2 2
66 44 m2 865173 0.00528637972 0.5 p0 2 1
70 57 m2 480242 -0.0266823974 0.5 p0 2 2
26 58 m2 69788 -4.54665133e-05 0.5 p0 2 3
43 64 m2 289284 8.70696967e-05 0.5 p0 2 2
5 74 m2 853518 -0.00711000897 0.5 p0 2 4
51 100 m2 323478 -0.0490552671 0.5 p0 2 2
60 102 m2 670482 0.0110421469 0.5 p0 2 6
21 113 m2 393730 7.16345039e-11 0.5 p0 2 2
27 116 m2 135411 -3.15863545e-05 0.5 p0 2 3
49 119 m2 71990 0.0338095017 0.5 p0 2 1
7 120 m2 362296 1.24403141e-05 0.5 p0 2 6
37 160 m2 76744 0.00354738464 0.5 p0 3 2
57 171 m2 968654 0.0165536404 0.5 p0 3 1
48 181 m2 157462 0.00262178527 0.5 p0 3 1
11 185 m2 794195 -0.00598771311 0.5 p0 3 3
12 191 m2 850847 3.61336419e-07 0.5 p0 3 2
72 196 m2 883981 0.0127612716 0.5 p0 3 1
17 199 m2 469578 0.00505900849 0.5 p0 3 14
2 204 m2 886684 6.86744124e-06 0.5 p0 3 8
8 209 m2 536162 4.76019153e-07 0.5 p0 3 3
22 236 m2 966946 -0.0643627569 0.5 p0 3 2
36 238 m2 331174 -0.00429064315 0.5 p0 3 6
40 267 m2 884517 -0.00894297846 0.5 p0 3 2
50 279 m2 559834 -0.00502416538 0.5 p0 3 1
3 282 m2 308212 -0.00755422842 0.5 p0 3 2
47 286 m2 330258 -0.0188882425 0.5 p0 3 2
29 287 m2 292225 0.0014065291 0.5 p0 3 3
68 292 m2 380545 0.00651382841 0.5 p0 3 2
71 299 m2 975198 -0.0084277736 0.5 p0 4 1
30 310 m2 623561 0.000729170395 0.5 p0 4 4
6 327 m2 963706 0.0194778945 0.5 p0 4 4
19 345 m2 26188 -0.00819369592 0.5 p0 4 3
16 348 m2 553777 0.000226386517 0.5 p0 4 7
69 350 m2 32008 4.36420169e-06 0.5 p0 4 1
33 361 m2 384462 0.00243401155 0.5 p0 4 2
45 364 m2 384637 0.0175755117 0.5 p0 4 3
9 368 m2 737501 -1.24527123e-05 0.5 p0 4 4
75 370 m2 777756 0.0461113974 0.5 p0 4 2
38 373 m2 351906 0.00363507308 0.5 p0 4 2
0 382 m2 449148 0.00629039761 0.5 p0 4 6
13 388 m2 67951 1.7945295e-08 0.5 p0 4 9
63 393 m2 808060 0.000439095369 0.5 p0 4 1
61 397 m2 155744 -5.53307109e-05 0.5 p0 4 2
58 405 m2 519289 5.73117613e-05 0.5 p0 4 1
32 428 m2 19272 -0.00013775962 0.5 p0 4 2
55 432 m2 555972 -0.00212507392 0.5 p0 4 1
25 443 m2 185962 -5.24086033e-07 0.5 p0 4 3
18 445 m2 522766 -0.00476474967 0.5 p0 4 3
1 450 m2 614759 0.00106904213 0.5 p0 4 7
41 454 m2 610323 0.00105768268 0.5 p0 4 3
42 470 m2 871806 -0.000603960769 0.5 p0 5 2
28 476 m2 176509 0.185552597 0.5 p0 5 1
64 479 m2 367770 -0.00136449793 0.5 p0 5 1
73 484 m2 210135 -0.000139995245 0.5 p0 5 1
74 487 m2 616155 0.0123197623 0.5 p0 5 1
59 488 m2 457848 -0.0321070366 0.5 p0 5 3
39 489 m2 169151 0.00429649511 0.5 p0 5 4
24 494 m2 201578 -0.000252629863 0.5 p0 5 1
4 496 m2 832868 0.00292531052 0.5 p0 5 3
23 499 m2 352483 -0.000699002296 0.5 p0 5 4
35 503 m2 112999 -0.00502788741 0.5 p0 5 1
65 505 m2 380002 1.05117195e-08 0.5 p0 5 2
15 506 m2 398418 0.00012775934 0.5 p0 5 9
54 508 m2 674846 -0.00571138505 0.5 p0 5 3
34 509 m2 955452 -0.0300611202 0.5 p0 5 4
52 510 m2 357811 -0.000519707683 0.5 p0 5 1
44 511 m2 961821 0.00135656726 0.5 p0 5 3
56 512 m2 711538 -0.0205336884 0.5 p0 5 1
67 513 m2 57282 -0.0101534827 0.5 p0 5 2
10 517 m2 581956 0.0523855425 0.5 p0 5 10
20 519 m2 171009 0.00069972279 0.5 p0 5 5
14 520 m2 591988 0.00161424174 0.5 p0 5 4
31 521 m2 236903 -0.0117739588 0.5 p0 5 1
