Temp_ID Permanent_ID Mutation_type Position s h Subpop Tick Number
11 3 m2 12198 2.37848212e-07 0.5 p0 2 1
12 4 m2 367907 0.0186729766 0.5 p0 2 3
8 12 m2 86886 -0.0602478199 0.5 p0 2 2
5 14 m2 224458 -0.0206866506 0.5 p0 2 2
7 23 m2 390549 -0.0034978101 0.5 p0 2 6
2 24 m2 771830 0.000663959421 0.5 p0 2 7
13 26 m2 661297 -0.00801343936 0.5 p0 2 4
16 27 m2 864072 5.86870385e-07 0.5 p0 2 1
14 31 m2 131606 -5.71835108e-06 0.5 p0 2 2
1 32 m2 988821 -0.000758437323 0.5 p0 2 3
15 33 m2 543864 -0.013705302 0.5 p0 2 1
10 40 m2 498601 -8.47156372e-08 0.5 p0 2 1
3 41 m2 105856 0.00382903754 0.5 p0 2 4
0 45 m2 459309 -1.32029627e-05 0.5 p0 2 3
9 48 m2 498773 3.31636184e-05 0.5 p0 2 2
4 51 m2 892267 0.012209787 0.5 p0 2 3
6 55 m2 971110 -0.0236264914 0.5 p0 2 5
