Temp_ID Permanent_ID Mutation_type Position s h Subpop Tick Number
621 0 m2 385 -0.0297428109 0.5 p-1 -350960 132
1078 1 m2 1145 -0.00643399032 0.5 p-1 -11101 18
1819 2 m2 1353 -0.0237112232 0.5 p-1 -39392 10
302 3 m2 1578 -0.000165781035 0.5 p-1 -568937 899
1761 5 m2 1717 -0.00424834481 0.5 p-1 -99177 5
1085 6 m2 3204 -0.00740540586 0.5 p-1 -122165 7
0 8 m2 3683 -0.00840441696 0.5 p-1 -4308278 711
1055 9 m2 4478 -0.000415319664 0.5 p-1 -11443 13
954 10 m2 4619 -0.0265765041 0.5 p-1 -170786 65
679 12 m2 5195 -7.90731156e-06 0.5 p-1 -924906 100
2201 13 m2 6058 -0.00110311864 0.5 p-1 -297 2
1 14 m2 7089 -0.00816394668 0.5 p-1 -4048443 1046
2063 16 m2 7400 -0.0301635582 0.5 p-1 -4993 2
2 17 m2 8238 -0.0507978462 0.5 p-1 -1224717 1064
1421 18 m2 8448 -0.00677334005 0.5 p-1 -462808 29
931 19 m2 8573 -0.0127416644 0.5 p-1 -83298 11
806 20 m2 8676 -8.43616581e-05 0.5 p-1 -850630 495
3 22 m2 8944 -0.00256431522 0.5 p-1 -7557065 1712
1547 23 m2 8996 -1.42181343e-05 0.5 p-1 -71916 14
1359 24 m2 9941 -1.43476791e-05 0.5 p-1 -12392 17
1548 26 m2 10479 -0.0921530649 0.5 p-1 -37348 11
1848 27 m2 10662 -0.0198517032 0.5 p-1 -51850 3
894 28 m2 10760 -0.0164834391 0.5 p-1 -254205 156
4 29 m2 11062 -0.00365981855 0.5 p-1 -2946659 1404
451 31 m2 11359 -0.0206771437 0.5 p-1 -2952723 521
5 32 m2 12052 -0.000122258076 0.5 p-1 -2686927 1355
6 34 m2 12639 -0.000600209518 0.5 p-1 -2959695 568
7 35 m2 12676 -0.00311577111 0.5 p-1 -1851173 568
1654 36 m2 12849 -0.000177717215 0.5 p-1 -5363 3
1645 37 m2 13361 -8.71066222e-05 0.5 p-1 -3871 14
1736 38 m2 14308 -0.000109000939 0.5 p-1 -9883 8
1316 39 m2 15147 -0.000266353076 0.5 p-1 -886945 33
452 40 m2 15344 -0.00420064107 0.5 p-1 -123650 161
1317 41 m2 15900 -3.29649447e-06 0.5 p-1 -2838605 31
1397 42 m2 15975 -0.0037470758 0.5 p-1 -5798 12
1677 43 m2 16228 -0.011193485 0.5 p-1 -65964 5
908 44 m2 16928 -0.000367732224 0.5 p-1 -108059 120
1769 45 m2 16938 -0.00316312537 0.5 p-1 -695 1
972 46 m2 16990 -0.00393918063 0.5 p-1 -383308 228
303 47 m2 17160 -0.000504318799 0.5 p-1 -1385423 121
1186 48 m2 17941 -0.000411099056 0.5 p-1 -570081 44
559 49 m2 18104 -0.0244760364 0.5 p-1 -2444592 879
1607 50 m2 19227 -0.0878274739 0.5 p-1 -65645 3
1363 51 m2 19564 -0.0173852574 0.5 p-1 -154056 28
2192 53 m2 19614 -0.00143508741 0.5 p-1 -5734 1
744 54 m2 19864 -0.0585578047 0.5 p-1 -187013 146
8 55 m2 20225 -0.037901327 0.5 p-1 -2731894 1016
1899 57 m2 21388 -0.00809171423 0.5 p-1 -25571 10
2224 58 m2 21816 -0.00451303413 0.5 p-1 -32012 1
1031 59 m2 21887 -0.0040831673 0.5 p-1 -24263 16
453 61 m2 22769 -0.00790749956 0.5 p-1 -2862244 104
1884 62 m2 22846 -6.35080932e-10 0.5 p-1 -3066 8
1163 63 m2 23077 -0.000414050475 0.5 p-1 -144624 60
1518 64 m2 23502 -0.00129294733 0.5 p-1 -6475 13
833 65 m2 24698 -0.00246475963 0.5 p-1 -1183623 313
1092 66 m2 24786 -0.0117160827 0.5 p-1 -15864 14
2091 67 m2 25093 -0.000392461166 0.5 p-1 -4998 3
1844 68 m2 25409 -0.0140543897 0.5 p-1 -63821 12
807 69 m2 25975 -2.40538502e-05 0.5 p-1 -137585 36
9 71 m2 27628 -0.00010502636 0.5 p-1 -20833 26
1152 73 m2 28177 -0.00105332863 0.5 p-1 -672103 99
622 75 m2 28335 -0.012074261 0.5 p-1 -6215825 1415
304 76 m2 29649 -0.000384304614 0.5 p-1 -2095651 825
745 77 m2 30116 -0.0233305395 0.5 p-1 -2918274 290
746 78 m2 30293 -0.0268105678 0.5 p-1 -5123258 106
305 79 m2 30327 -2.79108832e-07 0.5 p-1 -426194 106
1915 80 m2 30372 -7.00998498e-05 0.5 p-1 -15636 12
2072 81 m2 30605 -0.00238314737 0.5 p-1 -128151 1
306 82 m2 30630 -0.00557241822 0.5 p-1 -1477094 157
876 83 m2 31247 -0.000563888228 0.5 p-1 -1907275 78
1103 84 m2 31847 -0.000341008155 0.5 p-1 -816043 273
1856 85 m2 32067 -0.000147761733 0.5 p-1 -19917 6
1032 86 m2 32557 -0.000722521858 0.5 p-1 -707699 150
1858 87 m2 32818 -0.00188014167 0.5 p-1 -44752 9
2188 88 m2 33399 -0.00675722677 0.5 p-1 -16553 2
2125 89 m2 33679 -0.0352266282 0.5 p-1 -27541 3
307 90 m2 33934 -1.52158991e-05 0.5 p-1 -343855 233
719 92 m2 34461 -0.000431665365 0.5 p-1 -905762 364
1762 93 m2 34684 -0.00353273214 0.5 p-1 -79980 15
1705 94 m2 34767 -0.0168384202 0.5 p-1 -39848 29
