Temp_ID Permanent_ID Mutation_type Position s h Subpop Tick Number
23 1 m2 969895 -0.00810733996 0.5 p0 2 2
20 2 m2 749893 -0.000397736614 0.5 p0 2 2
10 5 m2 538019 -0.00638906052 0.5 p0 2 1
34 6 m2 475247 -0.00172374176 0.5 p0 2 1
14 7 m2 237812 -0.0389587507 0.5 p0 2 2
27 8 m2 369873 -0.0195775256 0.5 p0 2 1
29 9 m2 419292 -0.000353108189 0.5 p0 2 1
24 11 m2 885140 -4.21691539e-06 0.5 p0 2 1
5 17 m2 296467 -3.99000965e-05 0.5 p0 2 3
12 19 m2 17935 -0.000903421373 0.5 p0 2 1
1 20 m2 985868 -0.0034945095 0.5 p0 2 2
33 21 m2 623188 -0.000276140927 0.5 p0 2 1
11 23 m2 797405 -0.00106028246 0.5 p0 2 2
0 25 m2 41119 -0.00476443069 0.5 p0 2 1
32 26 m2 928478 -0.000676032389 0.5 p0 2 1
13 28 m2 409768 -0.0121102314 0.5 p0 2 1
28 29 m2 905970 -0.00147663429 0.5 p0 2 1
21 30 m2 500128 -0.000232288119 0.5 p0 2 2
4 31 m2 411308 -5.69413714e-07 0.5 p0 2 1
3 32 m2 481674 -0.0259177368 0.5 p0 2 2
8 33 m2 385140 -0.00221321965 0.5 p0 2 3
17 34 m2 56382 -0.0587414987 0.5 p0 2 1
18 35 m2 983350 -0.00114674389 0.5 p0 2 1
15 37 m2 36568 -0.0505931601 0.5 p0 2 2
7 38 m2 654742 -0.000516688451 0.5 p0 2 2
26 40 m2 956975 -0.0153512405 0.5 p0 2 1
25 41 m2 153624 -8.96802646e-07 0.5 p0 2 2
16 42 m2 191968 -0.00319893751 0.5 p0 2 1
2 43 m2 833650 -0.0177603755 0.5 p0 2 2
31 44 m2 948353 -0.00219901488 0.5 p0 2 1
19 45 m2 784769 -4.50506195e-06 0.5 p0 2 1
30 46 m2 254948 -0.00384381926 0.5 p0 2 1
9 47 m2 822999 -0.000562288449 0.5 p0 2 2
6 49 m2 487041 -0.000245149917 0.5 p0 2 1
22 50 m2 233557 -0.0253667049 0.5 p0 2 1
